1,62193,0.00,1049.00,32.00,78.00,1,-1,-1,-1,2
1,62192,5.00,931.00,49.00,85.00,1,-1,-1,-1,1
2,62193,0.85,1048.37,32.29,80.27,1,-1,-1,-1,3
2,62192,4.15,930.74,51.69,88.51,1,-1,-1,-1,4
3,62194,28.00,868.00,130.00,39.00,1,-1,-1,-1,7
3,62193,0.88,1050.19,32.37,81.39,1,-1,-1,-1,6
3,62192,3.03,930.75,53.06,90.56,1,-1,-1,-1,5
4,62193,0.48,1055.37,33.14,81.16,1,-1,-1,-1,8
4,62192,3.87,935.25,53.74,90.32,1,-1,-1,-1,9
5,62193,1.83,1058.32,33.53,80.82,1,-1,-1,-1,10
5,62192,3.40,938.70,54.50,90.25,1,-1,-1,-1,11
6,62193,1.49,1059.63,34.40,82.53,1,-1,-1,-1,13
6,62192,3.85,941.58,54.26,88.54,1,-1,-1,-1,14
7,62193,1.49,1061.33,35.11,82.42,1,-1,-1,-1,16
8,62195,0.69,1263.02,31.24,66.10,1,-1,-1,-1,19
8,62193,1.30,1066.08,35.01,80.07,1,-1,-1,-1,18
9,62195,0.68,1263.21,30.45,65.74,1,-1,-1,-1,21
9,62193,1.84,1067.97,35.09,79.98,1,-1,-1,-1,20
10,62195,0.82,1263.76,29.98,65.35,1,-1,-1,-1,23
10,62193,2.71,1070.27,35.09,79.19,1,-1,-1,-1,22
11,62193,2.86,1073.73,34.73,78.18,1,-1,-1,-1,24
12,62193,2.62,1076.46,35.16,78.04,1,-1,-1,-1,27
13,62193,2.22,1077.58,36.57,80.25,1,-1,-1,-1,29
14,62196,0.91,959.72,63.50,92.85,1,-1,-1,-1,30
14,62193,1.53,1079.50,38.16,81.86,1,-1,-1,-1,31
15,62196,1.88,960.76,64.53,93.74,1,-1,-1,-1,32
15,62193,1.04,1081.57,39.21,82.21,1,-1,-1,-1,33
16,62196,2.18,961.77,65.54,94.67,1,-1,-1,-1,35
16,62193,1.50,1081.72,40.27,82.77,1,-1,-1,-1,36
17,62196,1.72,962.70,66.94,95.78,1,-1,-1,-1,37
17,62193,1.81,1082.24,41.68,84.50,1,-1,-1,-1,38
18,62196,2.02,965.09,67.12,94.65,1,-1,-1,-1,39
18,62193,1.97,1084.04,42.11,86.39,1,-1,-1,-1,40
19,62196,2.71,966.40,67.35,94.57,1,-1,-1,-1,42
19,62193,1.45,1084.20,42.74,88.66,1,-1,-1,-1,43
20,62196,3.27,968.63,68.12,94.30,1,-1,-1,-1,45
20,62193,1.54,1086.50,43.70,89.47,1,-1,-1,-1,47
21,62198,60.50,1111.99,92.59,121.91,1,-1,-1,-1,49
21,62196,2.73,971.66,68.52,93.00,1,-1,-1,-1,50
21,62193,1.34,1088.59,43.19,89.81,1,-1,-1,-1,52
22,62198,60.75,1112.11,92.38,123.45,1,-1,-1,-1,54
22,62196,3.16,974.58,69.35,94.13,1,-1,-1,-1,55
22,62193,1.90,1093.72,43.66,88.95,1,-1,-1,-1,56
23,62199,1.30,1261.49,35.51,67.11,1,-1,-1,-1,62
23,62198,63.06,1112.64,92.14,124.37,1,-1,-1,-1,59
23,62196,3.24,976.94,69.79,93.89,1,-1,-1,-1,58
23,62193,1.74,1095.73,44.57,88.36,1,-1,-1,-1,60
24,62199,1.25,1261.58,35.61,66.69,1,-1,-1,-1,66
24,62198,62.50,1112.97,93.89,125.74,1,-1,-1,-1,65
24,62196,3.86,978.29,70.05,93.36,1,-1,-1,-1,63
24,62193,1.69,1098.16,45.53,88.55,1,-1,-1,-1,64
25,62199,1.13,1262.00,35.85,67.29,1,-1,-1,-1,70
25,62198,65.25,1113.96,93.37,127.22,1,-1,-1,-1,67
25,62196,4.46,979.56,70.03,94.15,1,-1,-1,-1,68
25,62193,2.56,1101.95,44.75,87.96,1,-1,-1,-1,69
26,62198,66.99,1116.09,92.93,128.23,1,-1,-1,-1,71
